Age,YearsBP,TempC
3.09639,3096.39,-30.5932
3.10803,3108.03,-30.3016
3.12079,3120.79,-30.1508
3.13329,3133.29,-30.0836
3.14554,3145.54,-29.982
3.15823,3158.23,-29.8252
3.16981,3169.81,-29.6896
3.18111,3181.11,-29.6084
3.1932,3193.2,-29.5512
3.20403,3204.03,-29.52
3.21458,3214.58,-29.4428
3.22761,3227.61,-29.27
3.23771,3237.71,-29.1308
3.24864,3248.64,-29.046
3.26018,3260.18,-28.9916
3.27439,3274.39,-28.912
3.2861,3286.1,-28.802
3.29707,3297.07,-28.748
3.30847,3308.47,-28.8592
3.32032,3320.32,-29.152
3.33111,3331.11,-29.5372
3.3432,3343.2,-29.7272
3.35472,3354.72,-29.6492
3.36737,3367.37,-29.7116
3.37868,3378.68,-29.9108
3.37868,3378.68,-30.0028
3.39053,3390.53,-30.042
3.40228,3402.28,-30.068
3.41073,3410.73,-30.0736
3.42556,3425.56,-30.104
3.43744,3437.44,-30.09
3.44934,3449.34,-30.1524
3.46206,3462.06,-30.2792
3.49126,3491.26,-30.3076
3.51028,3510.28,-30.4036
3.52252,3522.52,-30.5624
3.53388,3533.88,-30.5792
3.54495,3544.95,-30.4848
3.55781,3557.81,-30.3464
3.56909,3569.09,-30.2572
3.58158,3581.58,-30.1548
3.60574,3605.74,-29.9812
3.61751,3617.51,-29.7988
3.62631,3626.31,-29.8404
3.63624,3636.24,-29.896
3.65183,3651.83,-29.9384
3.66517,3665.17,-30.1136
3.6769,3676.9,-30.2796
3.68897,3688.97,-30.396
3.70128,3701.28,-30.476
3.71343,3713.43,-30.3912
3.72529,3725.29,-30.2644
3.73611,3736.11,-30.2116
3.74726,3747.26,-30.2676
3.75966,3759.66,-30.3796
3.77206,3772.06,-30.5124
3.78402,3784.02,-30.5568
3.79601,3796.01,-30.768
3.80816,3808.16,-30.7912
3.81744,3817.44,-30.85
3.83218,3832.18,-31.008
3.84379,3843.79,-31.0768
3.85557,3855.57,-31.046
3.86721,3867.21,-31.0388
3.88009,3880.09,-31.09
3.8883,3888.3,-31.156
3.90487,3904.87,-31.1772
3.91643,3916.43,-31.1752
3.92905,3929.05,-31.2212
3.94172,3941.72,-31.2308
3.95367,3953.67,-31.1632
3.96647,3966.47,-31.088
3.97873,3978.73,-31.0604
3.98962,3989.62,-31.0708
3.98962,3989.62,-31.0932
4.01689,4016.89,-30.9952
4.01689,4016.89,-30.914
4.02942,4029.42,-30.9148
4.04161,4041.61,-30.9116
4.0544,4054.4,-30.7012
4.06709,4067.09,-30.6292
4.07996,4079.96,-30.6284
4.09209,4092.09,-30.5092
4.10332,4103.32,-30.4428
4.1178,4117.8,-30.3648
4.1301,4130.1,-30.3132
4.14378,4143.78,-30.3044
4.15614,4156.14,-30.2968
4.16817,4168.17,-30.3596
4.18243,4182.43,-30.4568
4.19507,4195.07,-30.4828
4.20752,4207.52,-30.3596
4.21928,4219.28,-30.2096
4.23173,4231.73,-30.184
4.2444,4244.4,-30.1632
4.25679,4256.79,-30.1116
4.26911,4269.11,-30.2252
4.29427,4294.27,-30.4428
4.29427,4294.27,-30.4512
4.30731,4307.31,-30.6972
4.32007,4320.07,-30.7604
4.33297,4332.97,-30.8104
4.34521,4345.21,-30.9116
4.35767,4357.67,-30.9476
4.37044,4370.44,-31.0528
4.3804,4380.4,-31.0964
4.3959,4395.9,-31.026
4.40916,4409.16,-31.0648
4.42179,4421.79,-31.19
4.43329,4433.29,-31.3324
4.44544,4445.44,-31.4752
4.46016,4460.16,-31.5024
4.47302,4473.02,-31.4716
4.48559,4485.59,-31.4972
4.49801,4498.01,-31.4992
4.51066,4510.66,-31.4524
4.52062,4520.62,-31.1728
4.53626,4536.26,-31.0408
4.54961,4549.61,-31.0936
4.56299,4562.99,-31.1496
4.57588,4575.88,-31.1792
4.58879,4588.79,-31.262
4.60261,4602.61,-31.5564
4.61538,4615.38,-31.7592
4.62865,4628.65,-31.6288
4.64113,4641.13,-31.546
4.65435,4654.35,-31.5604
4.66728,4667.28,-31.492
4.68099,4680.99,-31.524
4.69271,4692.71,-31.6804
4.70696,4706.96,-31.7636
4.71955,4719.55,-31.8592
4.73185,4731.85,-31.9392
4.74497,4744.97,-31.99
4.7592,4759.2,-32.0408
4.77106,4771.06,-31.9772
4.78446,4784.46,-31.9276
4.79821,4798.21,-31.9264
4.81147,4811.47,-31.6268
4.82409,4824.09,-31.1784
4.83594,4835.94,-31.0256
4.85113,4851.13,-31.0276
4.85774,4857.74,-31.002
4.87831,4878.31,-30.888
4.8912,4891.2,-30.8236
4.90408,4904.08,-30.7664
4.91732,4917.32,-30.6044
4.93074,4930.74,-30.526
4.94326,4943.26,-30.3604
4.95743,4957.43,-30.2396
4.97054,4970.54,-30.24
4.98365,4983.65,-30.2272
4.99637,4996.37,-30.0832
5.0099,5009.9,-29.9044
5.02375,5023.75,-29.9024
5.03789,5037.89,-30.1796
5.05163,5051.63,-30.3712
5.06591,5065.91,-30.3268
5.079,5079,-30.25
5.09219,5092.19,-30.2488
5.10608,5106.08,-30.3864
5.12067,5120.67,-30.3256
5.13425,5134.25,-30.1728
5.14763,5147.63,-30.114
5.16182,5161.82,-29.972
5.17577,5175.77,-29.9844
5.18944,5189.44,-30.0092
5.20357,5203.57,-29.9588
5.21773,5217.73,-30.0732
5.21773,5217.73,-30.1352
5.23162,5231.62,-30.1988
5.24623,5246.23,-30.1508
5.26047,5260.47,-30.1524
5.27477,5274.77,-30.274
5.28829,5288.29,-30.3996
5.30205,5302.05,-30.4916
5.32744,5327.44,-30.656
5.3455,5345.5,-30.9896
5.36025,5360.25,-31.2688
5.375,5375,-31.4068
5.38914,5389.14,-31.49
5.40291,5402.91,-31.4604
5.41721,5417.21,-31.5168
5.43101,5431.01,-31.5164
5.44433,5444.33,-31.398
5.45868,5458.68,-31.2252
5.47304,5473.04,-31.1188
5.48824,5488.24,-31.0236
5.50254,5502.54,-30.9024
5.51717,5517.17,-30.8612
5.53212,5532.12,-30.7296
5.54742,5547.42,-30.4972
5.56237,5562.37,-30.2972
5.57743,5577.43,-30.0928
5.59189,5591.89,-30.0256
5.60692,5606.92,-30.0888
5.62163,5621.63,-30.0264
5.63604,5636.04,-29.9068
5.65076,5650.76,-29.9324
5.66574,5665.74,-30.0268
5.68131,5681.31,-30.1428
5.69651,5696.51,-30.2084
5.71158,5711.58,-30.2144
5.72768,5727.68,-30.34
5.74386,5743.86,-30.4028
5.75966,5759.66,-30.402
5.77528,5775.28,-30.4208
5.79124,5791.24,-30.5328
5.80773,5807.73,-30.702
5.82253,5822.53,-30.5928
5.839,5839,-30.4672
5.85463,5854.63,-30.5316
5.86923,5869.23,-30.5912
5.88449,5884.49,-30.6264
5.90023,5900.23,-30.5388
5.91558,5915.58,-30.4428
5.93039,5930.39,-30.4052
5.94535,5945.35,-30.308
5.96034,5960.34,-30.2208
5.97573,5975.73,-30.286
5.99083,5990.83,-30.3368
6.00596,6005.96,-30.3084
6.0209,6020.9,-30.2136
6.03496,6034.96,-30.3616
6.05012,6050.12,-30.6112
6.06553,6065.53,-30.7188
6.08086,6080.86,-30.766
6.09623,6096.23,-30.658
6.11194,6111.94,-30.5184
6.12764,6127.64,-30.5828
6.14418,6144.18,-30.6424
6.16034,6160.34,-30.648
6.17614,6176.14,-30.6684
6.19186,6191.86,-30.8152
6.20587,6205.87,-30.8952
6.22051,6220.51,-30.928
6.23664,6236.64,-30.9564
6.25305,6253.05,-31.1336
6.26872,6268.72,-31.1204
6.28533,6285.33,-30.8376
6.30184,6301.84,-30.7268
6.31832,6318.32,-30.7548
6.33371,6333.71,-30.8388
6.34887,6348.87,-30.9292
6.3651,6365.1,-30.8764
6.38053,6380.53,-30.8852
6.39576,6395.76,-30.9984
6.41131,6411.31,-30.9712
6.42644,6426.44,-30.8764
6.44171,6441.71,-30.786
6.4541,6454.1,-30.6648
6.46942,6469.42,-30.5268
6.48984,6489.84,-30.5572
6.50569,6505.69,-30.7032
6.52176,6521.76,-30.8692
6.53822,6538.22,-30.9756
6.55345,6553.45,-30.9136
6.5695,6569.5,-30.9204
6.58525,6585.25,-31.0852
6.6005,6600.5,-31.0988
6.61583,6615.83,-30.89
6.63207,6632.07,-30.8152
6.64779,6647.79,-30.8988
6.66322,6663.22,-30.9104
6.67915,6679.15,-30.9364
6.69554,6695.54,-30.9736
6.71102,6711.02,-30.8472
6.72716,6727.16,-30.6172
6.74347,6743.47,-30.3368
6.75923,6759.23,-30.124
6.77629,6776.29,-29.9692
6.79228,6792.28,-29.6656
6.80946,6809.46,-29.434
6.82614,6826.14,-29.4184
6.84355,6843.55,-29.4084
6.86083,6860.83,-29.226
6.87712,6877.12,-28.9944
6.89393,6893.93,-28.9868
6.90989,6909.89,-28.9756
6.92552,6925.52,-28.8252
6.94231,6942.31,-28.9184
6.95835,6958.35,-29.0596
6.97497,6974.97,-29.1308
6.97497,6974.97,-29.1676
6.99152,6991.52,-29.4676
7.00894,7008.94,-29.916
7.04323,7043.23,-30.3196
7.04323,7043.23,-30.2892
7.06031,7060.31,-30.474
7.07794,7077.94,-30.6828
7.09519,7095.19,-30.9452
7.11232,7112.32,-30.9768
7.12535,7125.35,-30.9636
7.1458,7145.8,-31.1032
7.16351,7163.51,-31.132
7.18052,7180.52,-31.2808
7.19745,7197.45,-31.4364
7.21319,7213.19,-31.42
7.23045,7230.45,-31.2596
7.24715,7247.15,-31.1212
