siteName,latitude,longitude,age,pollenPercentage,pollenSum,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Lower Lake,38.590035,-123.30498,173.0,43.9909297052,441.0,248.2,206.3,156.2,85.6,40.0,14.4,4.9,4.7,15.4,54.4,134.3,209.6,2.6,3.53,3.81,4.72,7.21,9.62,10.88,10.61,9.34,7.03,4.19,2.53,12.41,14.39,15.21,17.3,21.0,24.88,27.98,27.45,25.77,21.95,16.1,12.69,104.17250000000001,-91.49416666666666,-1480.4881337648326,82.825485623387692,10.880000000000001,4.7000000000000002,6.1800000000000006,18.609999999999999,224.25333333333333,224.25333333333333,18.370000000000001,237.12999999999997,27.98,12.41,26.687308243334805,81.200000000000003,39.490000000000002,13.163333333333334,26.77
Lower Lake,38.590035,-123.30498,185.0,41.9075144509,346.0,300.8,252.5,179.8,83.4,30.8,8.9,2.9,2.9,11.1,47.8,138.5,239.5,3.33,4.34,4.59,5.32,7.47,9.49,10.53,10.26,9.21,7.18,4.6,3.13,13.73,15.68,16.23,17.99,21.39,25.05,28.01,27.44,25.83,22.25,16.79,13.78,114.8625,-101.62083333333334,-1331.8588903451291,102.85531303121876,10.529999999999999,2.8999999999999999,7.629999999999999,15.633333333333335,267.86666666666662,267.86666666666662,14.993333333333334,244.16999999999996,28.010000000000002,13.73,23.800332893353012,81.280000000000001,43.189999999999998,14.396666666666667,26.833333333333332
Lower Lake,38.590035,-123.30498,197.0,36.0730593607,438.0,330.4,226.3,122.5,65.4,41.7,23.3,9.0,7.0,16.1,44.4,113.9,241.7,3.55,4.18,4.01,4.5,6.71,9.03,10.4,10.39,9.49,7.56,5.05,3.55,13.1,15.02,15.88,17.78,20.98,24.28,27.24,27.16,26.29,23.05,17.32,13.63,110.01000000000001,-96.94000000000001,-2851.1764705882351,100.84100753165848,10.4,7.0,3.4000000000000004,20.793333333333333,269.89333333333337,269.89333333333337,20.793333333333333,241.73,27.239999999999998,13.1,24.179238588297412,80.689999999999998,41.75,13.916666666666666,26.896666666666665
Lower Lake,38.590035,-123.30498,206.0,37.9746835443,474.0,214.4,176.1,144.1,70.9,25.3,7.1,2.5,3.0,14.7,70.3,179.7,218.9,4.07,4.73,4.51,5.02,7.33,9.78,11.15,10.98,9.83,7.76,5.27,3.94,13.9,15.68,16.04,17.74,21.26,25.17,28.31,27.77,26.08,22.44,16.98,14.01,100.94749999999999,-86.88583333333334,-1004.4605009633913,80.772675054232707,11.15,2.5,8.6500000000000004,17.386666666666667,207.38,208.75999999999999,14.836666666666668,245.37999999999997,28.309999999999999,13.9,24.073182756093821,82.159999999999997,43.590000000000003,14.963333333333333,27.083333333333332
Lower Lake,38.590035,-123.30498,220.0,35.1706036745,381.0,256.7,212.9,153.9,75.5,30.4,9.7,3.2,3.2,11.5,45.9,126.0,210.0,3.24,4.39,4.85,5.69,7.8,9.68,10.6,10.31,9.3,7.27,4.61,3.04,13.16,15.51,16.67,18.71,21.87,24.93,27.5,26.95,25.65,22.22,16.58,13.24,101.64,-88.17666666666666,-1191.5765765765766,86.853007144254931,10.6,3.2000000000000002,7.3999999999999995,16.036666666666665,230.09,230.09,15.563333333333333,242.99,27.5,13.16,23.747105033653021,80.099999999999994,41.909999999999997,13.969999999999999,26.459999999999997
Lower Lake,38.590035,-123.30498,232.0,42.6605504587,436.0,338.0,269.9,183.9,100.3,51.7,21.0,7.3,6.3,18.2,58.3,147.1,263.1,4.49,5.21,4.99,5.34,7.36,9.48,10.67,10.55,9.63,7.81,5.51,4.29,14.44,16.01,16.11,17.54,20.84,24.63,27.85,27.58,26.27,22.95,17.66,14.68,129.20249999999996,-114.98083333333334,-2631.1403508771932,109.71969757257203,10.67,6.2999999999999998,4.3700000000000001,20.883333333333333,294.99666666666667,294.99666666666667,20.883333333333333,246.56,27.850000000000001,14.44,22.714724254208939,81.700000000000003,45.129999999999995,15.043333333333331,27.233333333333334
Lower Lake,38.590035,-123.30498,243.0,37.037037037,459.0,321.8,256.0,161.0,76.1,32.9,11.4,3.7,3.3,10.7,39.8,115.6,233.3,2.6,3.44,3.8,4.64,6.85,8.9,10.15,10.31,9.72,7.82,4.93,2.87,12.54,14.38,15.22,17.21,20.62,24.18,27.32,27.28,26.31,22.93,17.03,13.2,111.80250000000001,-99.13083333333333,-1414.1345696623869,104.71487908641892,10.31,3.2999999999999998,7.0100000000000007,15.960000000000001,273.33666666666664,273.33666666666664,15.920000000000002,238.22,27.32,12.539999999999999,25.733278615932459,80.909999999999997,40.119999999999997,13.373333333333333,26.260000000000002
Lower Lake,38.590035,-123.30498,253.0,44.358974359,390.0,288.1,226.2,148.9,63.0,21.4,5.9,1.9,2.1,9.3,44.7,138.9,240.0,2.8,3.69,3.88,4.7,7.08,9.4,10.65,10.44,9.3,7.11,4.37,2.74,12.46,14.52,15.49,17.57,21.04,24.58,27.54,27.14,25.77,22.17,16.34,12.8,105.54666666666667,-92.85333333333334,-1061.1809523809525,98.130544627495524,10.65,1.8999999999999999,8.75,14.563333333333333,254.51000000000002,254.51000000000002,13.463333333333333,237.42,27.539999999999999,12.460000000000001,25.823098210376926,80.450000000000003,39.780000000000001,13.26,26.419999999999998
Lower Lake,38.590035,-123.30498,262.0,33.488372093,430.0,276.3,227.6,168.1,84.3,34.4,10.9,3.7,3.7,14.0,56.1,149.3,235.5,2.31,3.28,3.82,4.97,7.57,9.98,11.3,11.16,10.04,7.67,4.54,2.48,12.23,14.22,15.21,17.47,21.23,25.1,28.27,27.9,26.39,22.56,16.49,12.73,111.91833333333334,-98.73166666666667,-1299.1008771929824,93.868348040694144,11.300000000000001,3.7000000000000002,7.6000000000000005,17.966666666666665,249.15666666666667,249.15666666666667,16.913333333333334,239.80000000000004,28.27,12.23,27.307825768424131,82.560000000000002,39.18,13.06,27.090000000000003
Lower Lake,38.590035,-123.30498,276.0,30.3719008264,484.0,238.7,199.5,151.0,72.6,26.9,7.8,2.6,2.8,11.4,49.9,136.9,208.2,3.53,4.36,4.42,5.1,7.38,9.65,10.89,10.71,9.63,7.55,4.93,3.43,13.46,15.33,15.97,17.81,21.24,24.89,27.97,27.64,26.31,22.81,17.16,13.79,99.15666666666668,-85.56,-1032.0868516284679,83.132572169731134,10.890000000000001,2.6000000000000001,8.2900000000000009,16.010000000000002,219.24000000000001,219.24000000000001,14.816666666666668,244.38,27.969999999999999,13.460000000000001,24.384618148882112,81.920000000000002,42.579999999999998,14.193333333333333,26.833333333333332
