siteName,latitude,longitude,age,pollenPercentage,pollenSum,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12
Lower Lake,38.590035,-123.30498,243.0,37.037037037,459.0,321.8,256.0,161.0,76.1,32.9,11.4,3.7,3.3,10.7,39.8,115.6,233.3,2.6,3.44,3.8,4.64,6.85,8.9,10.15,10.31,9.72,7.82,4.93,2.87,12.54,14.38,15.22,17.21,20.62,24.18,27.32,27.28,26.31,22.93,17.03,13.2
Lower Lake,38.590035,-123.30498,253.0,44.358974359,390.0,288.1,226.2,148.9,63.0,21.4,5.9,1.9,2.1,9.3,44.7,138.9,240.0,2.8,3.69,3.88,4.7,7.08,9.4,10.65,10.44,9.3,7.11,4.37,2.74,12.46,14.52,15.49,17.57,21.04,24.58,27.54,27.14,25.77,22.17,16.34,12.8
Lower Lake,38.590035,-123.30498,262.0,33.488372093,430.0,276.3,227.6,168.1,84.3,34.4,10.9,3.7,3.7,14.0,56.1,149.3,235.5,2.31,3.28,3.82,4.97,7.57,9.98,11.3,11.16,10.04,7.67,4.54,2.48,12.23,14.22,15.21,17.47,21.23,25.1,28.27,27.9,26.39,22.56,16.49,12.73
Lower Lake,38.590035,-123.30498,276.0,30.3719008264,484.0,238.7,199.5,151.0,72.6,26.9,7.8,2.6,2.8,11.4,49.9,136.9,208.2,3.53,4.36,4.42,5.1,7.38,9.65,10.89,10.71,9.63,7.55,4.93,3.43,13.46,15.33,15.97,17.81,21.24,24.89,27.97,27.64,26.31,22.81,17.16,13.79
Lower Lake,38.590035,-123.30498,299.0,20.5831903945,583.0,285.0,236.2,170.6,88.6,39.4,13.6,4.6,4.3,14.3,52.1,135.9,229.1,4.06,4.78,4.58,5.06,7.29,9.63,10.91,10.69,9.54,7.5,5.09,3.85,13.74,15.59,16.16,17.94,21.3,24.93,27.98,27.63,26.29,22.84,17.28,14.01
Elkhorn Slough,36.82535,-121.76415,-23.0,2.73109243697,476.0,107.1,87.9,70.1,32.2,8.3,1.7,0.5,1.2,4.8,23.2,56.6,97.7,4.89,5.79,5.76,6.36,8.25,9.96,11.46,11.85,11.56,9.7,6.7,4.97,13.72,15.38,16.3,17.94,20.1,22.98,24.38,24.5,24.47,22.18,18.12,14.37
Elkhorn Slough,36.82535,-121.76415,80.0,1.06194690265,565.0,80.6,74.5,68.3,35.8,10.2,2.2,0.6,1.3,4.2,17.6,39.5,68.3,4.37,5.37,5.27,5.86,7.88,9.75,11.19,11.23,10.46,8.36,5.48,4.14,13.09,14.47,14.79,16.08,18.33,21.61,23.21,23.17,22.77,20.4,16.69,13.5
Elkhorn Slough,36.82535,-121.76415,377.0,0.943396226415,636.0,100.0,95.9,88.4,44.4,11.7,2.3,0.6,1.2,4.1,17.9,42.9,79.6,4.98,6.14,6.21,6.68,8.21,9.43,10.53,10.71,10.45,8.78,6.08,4.71,13.61,15.14,15.72,17.0,18.89,21.64,22.98,23.13,23.21,21.19,17.5,14.11
Elkhorn Slough,36.82535,-121.76415,1090.0,3.61990950226,442.0,120.5,105.4,85.6,41.5,11.5,2.4,0.7,1.5,4.8,20.9,50.4,97.5,5.09,6.06,5.89,6.07,7.33,8.39,9.53,9.96,10.08,8.76,6.27,4.93,13.49,14.9,15.41,16.62,18.43,21.12,22.55,22.94,23.32,21.48,17.77,14.19
Elkhorn Slough,36.82535,-121.76415,1744.0,2.5956284153,732.0,119.4,103.3,84.0,41.0,11.6,2.5,0.7,1.6,5.2,21.8,51.8,98.3,4.61,5.65,5.65,6.05,7.55,8.79,9.98,10.32,10.23,8.67,5.96,4.48,12.96,14.5,15.24,16.7,18.7,21.5,22.91,23.17,23.33,21.24,17.34,13.64
